time,date,name,nationality,event
2:55:18,06/24/1908,Johnny Hayes,United States,London United Kingdom
2:52:45,01/01/1909,Robert Fowler,United States,Yonkers United States
2:46:53,02/12/1909,James Clark,United States,New York City United States
2:46:05,05/08/1909,Albert Raines,United States,New York City United States
2:42:31,05/26/1909,Henry Barrett,United Kingdom,Polytechnic Marathon London United Kingdom
2:40:34,08/31/1909,Thure Johansson,Sweden,Stockholm Sweden
2:38:16,05/12/1913,Harry Green,United Kingdom,Polytechnic Marathon
2:36:07,05/31/1913,Alexis Ahlgren,Sweden,Polytechnic Marathon
2:32:36,08/22/1920,Hannes Kolehmainen,Finland,Antwerp Belgium
2:29:02,10/12/1925,Albert Michelsen,United States,Port Chester United States
2:27:49,03/31/1935,Fusashige Suzuki,Japan,Tokyo Japan
2:26:44,04/03/1935,Yasuo Ikenaka,Japan,Tokyo Japan
2:26:42,11/03/1935,Son Kitei,Japan,Tokyo Japan
2:25:39,04/19/1947,Suh Yun-bok,Korea,Boston Marathon
2:20:42,06/14/1952,Jim Peters,United Kingdom,Polytechnic Marathon
2:18:40,06/13/1953,Jim Peters,United Kingdom,Polytechnic Marathon
2:18:35,10/04/1953,Jim Peters,United Kingdom,Turku Marathon
2:17:39,06/26/1954,Jim Peters,United Kingdom,Polytechnic Marathon
2:15:17,08/24/1958,Sergei Popov,Soviet Union,Stockholm Sweden
2:15:16,09/10/1960,Abebe Bikila,Ethiopia,Rome Italy
2:15:16,02/17/1963,Toru Terasawa,Japan,Beppu-Ōita Marathon
2:14:28,06/15/1963,Leonard Edelen,United States,Polytechnic Marathon
2:13:55,06/13/1964,Basil Heatley,United Kingdom,Polytechnic Marathon
2:12:12,10/21/1964,Abebe Bikila,Ethiopia,Tokyo Japan
2:12:00,06/12/1965,Morio Shigematsu,Japan,Polytechnic Marathon
2:09:36,12/03/1967,Derek Clayton,Australia,Fukuoka Marathon
2:08:34,05/30/1969,Derek Clayton,Australia,Antwerp Belgium
2:08:18,12/06/1981,Robert De Castella,Australia,Fukuoka Marathon
2:08:05,10/21/1984,Steve Jones,United Kingdom,Chicago Marathon
2:07:12,04/20/1985,Carlos Lopes,Portugal,Rotterdam Marathon
2:06:50,04/17/1988,Belayneh Dinsamo,Ethiopia,Rotterdam Marathon
2:06:05,09/20/1998,Ronaldo da Costa,Brazil,Berlin Marathon
2:05:42,10/24/1999,Khalid Khannouchi,Morocco,Chicago Marathon
2:05:38,04/14/2002,Khalid Khannouchi,United States,London Marathon
2:04:55,09/28/2003,Paul Tergat,Kenya,Berlin Marathon
2:04:26,09/30/2007,Haile Gebrselassie,Ethiopia,Berlin Marathon
2:03:59,09/28/2008,Haile Gebrselassie,Ethiopia,Berlin Marathon
2:03:38,09/25/2011,Patrick Makau,Kenya,Berlin Marathon
2:03:23,09/29/2013,Wilson Kipsang,Kenya,Berlin Marathon
