time,date,name,nationality,event/Place
5:40,09/29/1918,Marie-Louise Ledru,France,Tour de Paris Marathon
3:40:22,10/03/1926,Violet Piercy,United Kingdom,London
3:37:07,12/16/1963,Merry Lepper,United States,Culver City United States
3:27:45,05/23/1964,Dale Greig,United Kingdom,Ryde
3:19:33,07/21/1964,Mildred Sampson,New Zealand,Auckland New Zealand
3:15:23,05/06/1967,Maureen Wilton,Canada,Toronto Canada
3:07:27,09/16/1967,Anni Pede-Erdkamp,West Germany,Waldniel West Germany
3:02:53,02/28/1970,Caroline Walker,United States,Seaside OR
3:01:42,05/09/1971,Elizabeth Bonner,United States,Philadelphia United States
2:55:22,09/19/1971,Elizabeth Bonner,United States,New York City Marathon
2:49:40,12/05/1971,Cheryl Bridges,United States,Culver City United States
2:46:36,12/02/1973,Michiko Gorman,United States,Culver City United States
2:46:24,10/27/1974,Chantal Langlacé,France,Neuf-Brisach France
2:43:54,12/01/1974,Jacqueline Hansen,United States,Culver City United States
2:42:24,04/21/1975,Liane Winter,West Germany,Boston Marathon
2:40:15,05/03/1975,Christa Vahlensieck,West Germany,Dülmen
2:38:19,10/12/1975,Jacqueline Hansen,United States,Eugene United States
2:35:15,05/01/1977,Chantal Langlacé,France,Oiartzun Spain
2:34:47,09/10/1977,Christa Vahlensieck,West Germany,Berlin Marathon
2:32:29,10/22/1978,Grete Waitz,Norway,New York City Marathon
2:27:32,10/21/1979,Grete Waitz,Norway,New York City Marathon
2:31:23,02/03/1980,Joan Benoit,United States,Auckland New Zealand
2:30:57,09/06/1980,Patti Catalano,United States,Montreal Canada
2:25:41,10/26/1980,Grete Waitz,Norway,New York City Marathon
2:30:27,11/16/1980,Joyce Smith,United Kingdom,Tokyo Japan
2:29:57,03/29/1981,Joyce Smith,United Kingdom,London Marathon
2:29:01,01/16/1982,Charlotte Teske,West Germany,Miami United States
2:26:12,09/12/1982,Joan Benoit,United States,Eugene United States
2:25:28,04/17/1983,Grete Waitz,Norway,London Marathon
2:22:43,04/18/1983,Joan Benoit,United States,Boston Marathon
2:24:26,05/13/1984,Ingrid Kristiansen,Norway,London Marathon
2:21:06,04/21/1985,Ingrid Kristiansen,Norway,London Marathon
2:20:47,04/19/1998,Tegla Loroupe,Kenya,Rotterdam Marathon
2:20:43,09/26/1999,Tegla Loroupe,Kenya,Berlin Marathon
2:19:46,09/30/2001,Naoko Takahashi,Japan,Berlin Marathon
2:18:47,10/07/2001,Catherine Ndereba,Kenya,Chicago Marathon
2:17:18,10/13/2002,Paula Radcliffe,United Kingdom,Chicago Marathon
2:15:25,04/13/2003,Paula Radcliffe,United Kingdom,London Marathon
